problem,answer,operation,num_digits
9 + 3 = ,12,add,1
8 + 1 = ,9,add,1
6 + 3 = ,9,add,1
8 + 2 = ,10,add,1
4 + 2 = ,6,add,1
6 + 1 = ,7,add,1
5 + 1 = ,6,add,1
4 + 1 = ,5,add,1
2 + 1 = ,3,add,1
8 + 4 = ,12,add,1
7 + 1 = ,8,add,1
6 + 2 = ,8,add,1
3 + 1 = ,4,add,1
9 + 1 = ,10,add,1
6 - 2 = ,4,sub,1
6 - 1 = ,5,sub,1
4 - 1 = ,3,sub,1
8 - 1 = ,7,sub,1
9 - 3 = ,6,sub,1
8 - 2 = ,6,sub,1
6 - 3 = ,3,sub,1
8 - 4 = ,4,sub,1
5 - 1 = ,4,sub,1
3 - 1 = ,2,sub,1
7 - 1 = ,6,sub,1
9 - 1 = ,8,sub,1
2 - 1 = ,1,sub,1
4 - 2 = ,2,sub,1
4 * 2 = ,8,mul,1
7 * 1 = ,7,mul,1
8 * 4 = ,32,mul,1
4 * 1 = ,4,mul,1
8 * 1 = ,8,mul,1
6 * 1 = ,6,mul,1
9 * 3 = ,27,mul,1
2 * 1 = ,2,mul,1
9 * 1 = ,9,mul,1
5 * 1 = ,5,mul,1
6 * 3 = ,18,mul,1
8 * 2 = ,16,mul,1
3 * 1 = ,3,mul,1
6 * 2 = ,12,mul,1
8 / 4 = ,2,div,1
4 / 1 = ,4,div,1
6 / 1 = ,6,div,1
4 / 2 = ,2,div,1
3 / 1 = ,3,div,1
8 / 1 = ,8,div,1
9 / 3 = ,3,div,1
5 / 1 = ,5,div,1
6 / 3 = ,2,div,1
9 / 1 = ,9,div,1
7 / 1 = ,7,div,1
2 / 1 = ,2,div,1
8 / 2 = ,4,div,1
6 / 2 = ,3,div,1
50 + 10 = ,60,add,2
72 + 24 = ,96,add,2
26 + 13 = ,39,add,2
82 + 41 = ,123,add,2
60 + 15 = ,75,add,2
54 + 18 = ,72,add,2
24 + 12 = ,36,add,2
70 + 10 = ,80,add,2
30 + 15 = ,45,add,2
72 + 36 = ,108,add,2
62 + 31 = ,93,add,2
81 + 27 = ,108,add,2
40 + 20 = ,60,add,2
93 + 31 = ,124,add,2
96 - 48 = ,48,sub,2
30 - 10 = ,20,sub,2
84 - 42 = ,42,sub,2
48 - 16 = ,32,sub,2
55 - 11 = ,44,sub,2
94 - 47 = ,47,sub,2
64 - 16 = ,48,sub,2
48 - 12 = ,36,sub,2
96 - 12 = ,84,sub,2
98 - 14 = ,84,sub,2
78 - 39 = ,39,sub,2
88 - 44 = ,44,sub,2
69 - 23 = ,46,sub,2
81 - 27 = ,54,sub,2
91 * 13 = ,1183,mul,2
50 * 10 = ,500,mul,2
62 * 31 = ,1922,mul,2
36 * 12 = ,432,mul,2
42 * 14 = ,588,mul,2
66 * 33 = ,2178,mul,2
88 * 22 = ,1936,mul,2
39 * 13 = ,507,mul,2
84 * 14 = ,1176,mul,2
94 * 47 = ,4418,mul,2
76 * 38 = ,2888,mul,2
38 * 19 = ,722,mul,2
44 * 22 = ,968,mul,2
57 * 19 = ,1083,mul,2
60 / 15 = ,4,div,2
78 / 13 = ,6,div,2
81 / 27 = ,3,div,2
87 / 29 = ,3,div,2
51 / 17 = ,3,div,2
42 / 21 = ,2,div,2
96 / 24 = ,4,div,2
93 / 31 = ,3,div,2
66 / 22 = ,3,div,2
63 / 21 = ,3,div,2
88 / 44 = ,2,div,2
30 / 10 = ,3,div,2
70 / 35 = ,2,div,2
84 / 42 = ,2,div,2
368 + 184 = ,552,add,3
480 + 240 = ,720,add,3
833 + 119 = ,952,add,3
763 + 109 = ,872,add,3
696 + 348 = ,1044,add,3
700 + 175 = ,875,add,3
420 + 140 = ,560,add,3
958 + 479 = ,1437,add,3
570 + 285 = ,855,add,3
698 + 349 = ,1047,add,3
388 + 194 = ,582,add,3
990 + 165 = ,1155,add,3
735 + 147 = ,882,add,3
483 + 161 = ,644,add,3
760 - 190 = ,570,sub,3
580 - 145 = ,435,sub,3
916 - 229 = ,687,sub,3
858 - 286 = ,572,sub,3
500 - 125 = ,375,sub,3
994 - 497 = ,497,sub,3
978 - 326 = ,652,sub,3
852 - 213 = ,639,sub,3
960 - 192 = ,768,sub,3
946 - 473 = ,473,sub,3
515 - 103 = ,412,sub,3
828 - 414 = ,414,sub,3
480 - 120 = ,360,sub,3
987 - 141 = ,846,sub,3
744 * 186 = ,138384,mul,3
786 * 393 = ,308898,mul,3
520 * 104 = ,54080,mul,3
909 * 303 = ,275427,mul,3
340 * 170 = ,57800,mul,3
612 * 306 = ,187272,mul,3
394 * 197 = ,77618,mul,3
606 * 101 = ,61206,mul,3
294 * 147 = ,43218,mul,3
756 * 378 = ,285768,mul,3
608 * 152 = ,92416,mul,3
315 * 105 = ,33075,mul,3
890 * 178 = ,158420,mul,3
404 * 202 = ,81608,mul,3
909 / 101 = ,9,div,3
378 / 126 = ,3,div,3
432 / 144 = ,3,div,3
592 / 296 = ,2,div,3
505 / 101 = ,5,div,3
780 / 130 = ,6,div,3
548 / 274 = ,2,div,3
999 / 333 = ,3,div,3
420 / 105 = ,4,div,3
300 / 100 = ,3,div,3
218 / 109 = ,2,div,3
630 / 126 = ,5,div,3
824 / 412 = ,2,div,3
635 / 127 = ,5,div,3
4014 + 1338 = ,5352,add,4
7149 + 2383 = ,9532,add,4
5384 + 2692 = ,8076,add,4
8298 + 2766 = ,11064,add,4
3430 + 1715 = ,5145,add,4
6474 + 2158 = ,8632,add,4
9718 + 4859 = ,14577,add,4
4288 + 2144 = ,6432,add,4
8268 + 4134 = ,12402,add,4
5354 + 2677 = ,8031,add,4
6678 + 1113 = ,7791,add,4
9072 + 1008 = ,10080,add,4
6963 + 2321 = ,9284,add,4
5894 + 2947 = ,8841,add,4
6570 - 3285 = ,3285,sub,4
6635 - 1327 = ,5308,sub,4
9090 - 3030 = ,6060,sub,4
7700 - 1100 = ,6600,sub,4
7298 - 3649 = ,3649,sub,4
8985 - 1797 = ,7188,sub,4
6942 - 2314 = ,4628,sub,4
3270 - 1090 = ,2180,sub,4
8372 - 1196 = ,7176,sub,4
7149 - 2383 = ,4766,sub,4
5412 - 1353 = ,4059,sub,4
7599 - 2533 = ,5066,sub,4
2994 - 1497 = ,1497,sub,4
6828 - 2276 = ,4552,sub,4
9820 * 2455 = ,24108100,mul,4
4438 * 2219 = ,9847922,mul,4
9300 * 1550 = ,14415000,mul,4
8652 * 1236 = ,10693872,mul,4
9804 * 4902 = ,48059208,mul,4
8236 * 4118 = ,33915848,mul,4
5324 * 1331 = ,7086244,mul,4
7310 * 3655 = ,26718050,mul,4
6200 * 1550 = ,9610000,mul,4
4798 * 2399 = ,11510402,mul,4
9972 * 1108 = ,11048976,mul,4
5124 * 2562 = ,13127688,mul,4
6408 * 1602 = ,10265616,mul,4
7173 * 2391 = ,17150643,mul,4
9512 / 4756 = ,2,div,4
8502 / 4251 = ,2,div,4
7746 / 3873 = ,2,div,4
8512 / 1216 = ,7,div,4
3722 / 1861 = ,2,div,4
5828 / 1457 = ,4,div,4
7035 / 2345 = ,3,div,4
9732 / 4866 = ,2,div,4
3156 / 1578 = ,2,div,4
3342 / 1114 = ,3,div,4
6482 / 3241 = ,2,div,4
8478 / 1413 = ,6,div,4
9738 / 1082 = ,9,div,4
8090 / 1618 = ,5,div,4
